Bairro,NumerodeHomicidios,Regional,PopulacaoTotal,PopHomens,PopMulheres,MediaMoradores,RazaoDep,Id,GID,Geometria,HomicidioPopulacao
MANUEL DIAS BRANCO,3,REGIONAL 2,1447,679,768,3.27,"40,49",Limite Bairro.fid-2be50750_153af4824fe_2da0,109,POLYGON,207.326
EDSON QUEIROZ,24,REGIONAL 6,22210,10586,11624,3.76,"33,75",Limite Bairro.fid-2be50750_153af4824fe_2d38,52,POLYGON,108.059
VILA ELLERY,6,REGIONAL 1,7863,3544,4319,3.43,"39,41",Limite Bairro.fid-2be50750_153af4824fe_2d6c,53,POLYGON,76.307
FARIAS BRITO,1,REGIONAL 1,12063,5400,6663,3.33,"37,22",Limite Bairro.fid-2be50750_153af4824fe_2d4c,8,POLYGON,8.29
FATIMA,7,REGIONAL 4,23309,10091,13218,3.19,"31,68",Limite Bairro.fid-2be50750_153af4824fe_2d64,45,POLYGON,30.031
FLORESTA,10,REGIONAL 1,28896,13677,15219,3.49,"46,04",Limite Bairro.fid-2be50750_153af4824fe_2d3f,29,POLYGON,34.607
GENIBAU,37,REGIONAL 5,40336,19531,20805,3.55,"45,72",Limite Bairro.fid-2be50750_153af4824fe_2d8d,85,POLYGON,91.729
GRANJA LISBOA,32,REGIONAL 5,52042,25360,26682,3.61,"47,26",Limite Bairro.fid-2be50750_153af4824fe_2d81,73,POLYGON,61.489
GRANJA PORTUGAL,26,REGIONAL 5,39651,19172,20479,3.67,"50,23",Limite Bairro.fid-2be50750_153af4824fe_2d80,72,POLYGON,65.572
GUAJERU,0,REGIONAL 6,6668,3085,3583,3.59,"38,37",Limite Bairro.fid-2be50750_153af4824fe_2d73,60,POLYGON,0
HENRIQUE JORGE,6,REGIONAL 3,26994,12606,14388,3.45,"40,41",Limite Bairro.fid-2be50750_153af4824fe_2d4e,9,POLYGON,22.227
ITAOCA,10,REGIONAL 4,12477,5602,6875,3.34,"38,97",Limite Bairro.fid-2be50750_153af4824fe_2d62,42,POLYGON,80.147
ITAPERI,8,REGIONAL 4,22563,10487,12076,3.2,"35,78",Limite Bairro.fid-2be50750_153af4824fe_2d39,80,POLYGON,35.456
JACARECANGA,11,REGIONAL 1,14204,6472,7732,3.34,"42,81",Limite Bairro.fid-2be50750_153af4824fe_2d48,4,POLYGON,77.443
JANGURUSSU,57,REGIONAL 6,50479,24217,26262,3.54,"42,19",Limite Bairro.fid-2be50750_153af4824fe_2d52,24,POLYGON,112.918
JARDIM AMERICA,8,REGIONAL 4,12264,5455,6809,3.38,"39,27",Limite Bairro.fid-2be50750_153af4824fe_2d47,68,POLYGON,65.232
JARDIM CEARENSE,1,REGIONAL 5,10103,4771,5332,3.46,"36,82",Limite Bairro.fid-2be50750_153af4824fe_2d7a,66,POLYGON,9.898
